sector,output,BL_dom,BLindex_dom,FL_dom,FLindex_dom,BL_total,Vj,Vi,HEM_loss_pct,share_of_output_pct
Crops,1146784.5,1.2819,0.7839,2.0607,1.1538,1.3846,4.1443,2.8786,6.4244,4.8723
Livestock,299269.3,1.5564,0.9517,1.8130,1.0151,1.6495,3.3500,3.1100,2.1209,1.2715
Forestry,113079.4,1.1848,0.7245,2.5878,1.4489,1.2267,4.2789,2.4042,0.5945,0.4804
Fisheries,339832.9,1.2274,0.7506,1.5283,0.8557,1.2743,4.2094,3.4392,1.8794,1.4438
Coal,382653.2,1.5933,0.9743,1.8049,1.0105,1.7644,3.2265,2.9412,2.7276,1.6258
OilGas,428730.1,1.3467,0.8235,2.6590,1.4888,1.4364,4.0644,2.2849,2.3535,1.8215
OthMining,359460.6,1.4097,0.8620,2.2646,1.2679,1.5883,3.6384,2.5364,2.2759,1.5272
FoodProc,1917598.0,1.9261,1.1778,1.5239,0.8532,2.1020,3.1500,3.8845,14.5193,8.1472
BevTobText,466363.0,1.6537,1.0112,1.4711,0.8236,1.9609,3.4633,3.9288,3.1054,1.9814
Apparel,369506.7,1.7056,1.0429,1.2538,0.7020,2.2301,3.2039,4.3578,2.6535,1.5699
WoodPaper,431983.8,1.8282,1.1179,2.1012,1.1765,2.1384,3.1810,2.8371,2.9542,1.8353
Chemicals,1562805.2,1.6900,1.0334,2.0789,1.1640,2.0166,3.3708,2.7260,10.0549,6.6398
NonMetalPrd,190633.3,1.8626,1.1389,2.1767,1.2187,2.0688,2.7452,2.9930,1.5883,0.8099
BasMetals,272640.0,1.8456,1.1286,1.7852,0.9995,2.1150,2.8583,3.0647,2.2589,1.1584
MetalMach,833553.6,1.6371,1.0011,1.5151,0.8483,2.2439,3.2624,3.5366,5.8049,3.5415
TranspEquip,525555.8,1.6089,0.9838,1.4768,0.8269,2.0003,3.5117,3.8239,3.3772,2.2329
OthManuf,256389.2,1.6321,0.9980,1.2923,0.7235,2.1570,3.0792,3.9253,1.8948,1.0893
Utilities,721613.2,2.4932,1.5245,2.6240,1.4692,2.6534,3.3984,3.1966,4.6900,3.0659
Construction,2915661.8,1.8185,1.1120,1.1235,0.6290,2.1247,2.7587,4.5355,24.2430,12.3876
Trade,2413674.7,1.4231,0.8702,1.6234,0.9089,1.5320,3.6233,3.1565,6.4874,10.2549
Transport,1439617.6,1.7526,1.0717,1.7738,0.9931,2.0285,3.0672,3.0222,8.7521,6.1164
InfoComm,786895.1,1.5762,0.9638,1.9348,1.0833,1.6830,3.6285,2.9449,4.5657,3.3432
HotelsRest,907939.8,1.8246,1.1157,1.2375,0.6929,1.9608,2.7911,4.0298,7.6410,3.8575
FinBusSvc,2385924.6,1.3770,0.8420,1.7935,1.0042,1.4664,3.9625,3.0223,13.0339,10.1370
OthServices,2068724.2,1.6285,0.9958,1.1478,0.6427,1.7691,3.0811,4.4253,15.3932,8.7893
