metric,centre,min,max,spread,sign_stability
Real HousCon,0.975548,0.903403,1.118481,0.215078,stable
Real Invest,0.880129,0.810242,1.013809,0.203567,stable
Export vol,-3.878953,-4.720918,-2.924523,1.796395,stable
Import vol,1.774554,0.958506,2.751967,1.793461,stable
Real GNE,0.820375,0.758345,0.942284,0.183939,stable
Real GDP,-0.205173,-0.265899,-0.082157,0.183742,stable
Employment,-0.330034,-0.456642,-0.080193,0.376449,stable
CPI,1.421990,1.136172,2.006261,0.870090,stable
Coal output,2.352927,2.281436,3.663013,1.381577,stable
Coal employ,15.073148,14.458705,23.549261,9.090555,stable
