COM,AllHou
Rice,0.0
Corn,15165.905
SweetPotato,6930.173
Cassava,11771.916
OthTubers,1032.338
Peanuts,1370.8252
Soy,768.5483
OthNuts,9717.563
OthGrains,207.58592
Vegetables,146207.38
DecorPlants,2083.3086
Cane,0.0
Tobacco,0.0
PlantFiber,0.0
OthPlantaton,1700.9631
Fruits,134453.61
PlantBiophrm,1316.5963
Rubber,0.0
Coconut,9077.431
PalmOil,0.0
Coffee,0.0
Tea,0.0
Cocoa,0.0
Clove,73.97876
Cashew,84.37007
Livestock,489.07892
FreshMilk,672.55414
PoultryEggs,72600.91
OthAnimalPrd,4866.524
AgricSvc,276.0415
Wood,2368.9136
OthForestPrd,353.72366
Fish,220064.44
Shrimps,31154.322
OthAquatic,5703.2603
Seaweed,43.414608
CoalLignite,0.0
CrudeOil,0.0
NaturalGas,0.0
IronOre,0.0
TinOre,0.0
BauxiteOre,0.0
CopperOre,0.0
NickelOre,0.0
OthMetalMine,0.0
GoldOre,0.0
SilverOre,0.0
GalianPrd,274.64468
NonMetlMinrl,0.0
CoarseSalt,0.0
PetrolNatGas,0.0
OthMiningQry,0.0
Abattoir,145868.92
MeatProcessg,73995.266
DriedFish,13765.831
FishProcess,25501.18
VegFruitProc,22586.006
EdibleOils,81633.53
Copra,111.5282
DairyPrd,105641.555
OthFlour,4825.26
WheatFlour,10706.255
RiceMilling,261800.72
BreadBiscuit,84898.54
Sugar,33799.52
Confectionry,6924.3965
PastaNoodle,38299.176
CoffeeProc,29877.268
TeaProc,9138.571
SoyProcessed,64782.484
OthFood,179586.4
AnimalFeed,8347.828
AlcoBeverage,14867.492
NonAlcoBev,61775.68
Cigarettes,366302.6
TobaccoPrd,211.89569
Yarn,1538.1869
Textile,9468.523
RopesCarpets,6256.5337
OthTextilPrd,21107.818
KnittedPrd,5040.3823
Apparel,185961.4
Tanning,0.0
LeatherPrd,12928.536
Footwear,49058.12
SawMill,0.0
Plywood,677.88654
WoodBuildMat,0.0
OthWoodPrdn,6565.202
PaperPulp,0.0
Paper,1491.6014
PaperPrd,12499.657
PrintedPrd,8029.196
OthNMmetlPrd,683.22455
OilAndGasRef,209209.53
BasChemicals,769.7739
Fertilizer,2748.0872
Plastics,0.0
Pesticide,1143.6893
Paints,4949.9717
Varnish,313.35248
Soaps,84207.32
Cosmetics,108181.95
OthChemPrd,1836.5734
Pharmaceutcl,37176.46
TradMedicine,17875.328
Tire,4403.9053
SmokedRubber,0.0
OthRubberPrd,376.41733
PlasticPrd,41388.05
Glass,3201.983
ClayCermcPrd,3858.9954
Cement,1100.9312
BasIronSteel,0.0
NonFerrMetal,0.0
FoundryPrd,0.0
FabMetalPrd,3325.2468
WeaponsAmmo,41.718987
DomMetalPrd,20373.398
OthMetalPrd,1588.4026
ElectroncPrd,100318.0
Instruments,11077.609
ElecMotorGen,209.05219
ElectEqp,250.8976
Batteries,3634.7798
OthElecEqp,12773.482
DomElectEqp,31930.768
PrimaryMover,6343.228
OfficeMachin,191.33577
OthMachinEqp,5529.3613
MotorVehicle,205532.39
Ships,52.088078
RailwayEqp,0.0
Aircraft,0.0
OthTrnsEqp,22883.904
Motorcycle,116435.305
Furniture,46829.715
Jewelry,37698.082
MusicInstrum,404.88724
SportsEquip,3964.2764
GamesAndToys,7828.56
MedicalDvces,4148.7773
OthIndustPrd,15866.443
ManMtlRepair,0.0
Electricity,84396.21
GasDist,107.481155
WaterSupply,31731.668
WasteManage,6276.74
ResidBuildng,0.0
EleGasInfstr,14116.742
AgricInfstrc,0.0
RoadsBridges,0.0
OthBuildings,0.0
CarTrading,0.0
CarRepair,89881.875
OthTrade,0.0
RailTransprt,5397.5977
LandTransprt,167431.1
SeaTransport,15380.951
RiverTrnsprt,8659.184
AirTransport,298898.97
TransportSvc,11715.664
Postal,12959.15
Hotels,54010.75
Restaurants,695138.44
Publishing,24703.154
Broadcasting,27373.08
Telecommunic,233645.89
InformatTech,23012.828
FinancialSvc,122343.81
InsuranceSvc,80300.15
PensionSvc,1729.8114
OthFinancSvc,33183.957
RealEstatSvc,844569.94
ProfSciTech,0.0
RentalSvc,22062.916
GenGovernmet,1914.0026
GovEducation,10562.474
GovHealth,9164.327
OthGovSvc,140.66179
PrvEducation,298302.03
PrvHealth,173517.77
ArtsEntrtain,75017.734
HholdRepairs,21550.006
OthSvc,225791.1
